'ID','State','Tree','I','I.p','Cmean','Cmean.p','lambda','lambda.p','K','K.p','D'
"1","Brain size species mean","(((((((40:5.769164,26:5.769163):7.083362,(((17:5.045978,18:5.045978):1.475126,20:6.521104):2.139695,19:8.660800):4.191726):8.557849,((6:12.537452,28:12.537452):2.897705,((((22:9.634813,32:9.634813):0.839771,33:10.474584):2.310063,(36:11.461377,41:11.461378):1.323270):0.523455,30:13.308102):2.127056):5.975217):8.589626,((((12:3.528966,13:3.528966):0.547859,14:4.076825):2.521536,37:6.598362):13.007584,((11:8.652233,25:8.652232):6.480222,29:15.132455):4.473491):10.394055):16.811821,((2:21.321301,((1:19.487521,(4:15.712251,34:15.712253):3.775269):0.605006,(5:18.569905,35:18.569905):1.522623):1.228773):1.411478,3:22.732778):24.079043):22.028211,(38:16.314276,39:16.314276):52.525757):4.162986,((((21:30.945904,31:30.945905):2.318811,(((8:4.153703,9:4.153705):10.865892,15:15.019596):5.523206,42:20.542802):12.721914):17.859349,7:51.124065):11.612487,((27:34.635256,(16:24.057527,23:24.057528):10.577729):3.364744,(10:13.364418,24:13.364418):24.635583):24.736553):10.266465);","-0.041895","0.807","-0.141539","0.931","0.999934","0","1.01272","0.001001","-"
"2","Brain size female mean","(((((((40:5.769164,26:5.769163):7.083362,(((17:5.045978,18:5.045978):1.475126,20:6.521104):2.139695,19:8.660800):4.191726):8.557849,((6:12.537452,28:12.537452):2.897705,((((22:9.634813,32:9.634813):0.839771,33:10.474584):2.310063,(36:11.461377,41:11.461378):1.323270):0.523455,30:13.308102):2.127056):5.975217):8.589626,((((12:3.528966,13:3.528966):0.547859,14:4.076825):2.521536,37:6.598362):13.007584,((11:8.652233,25:8.652232):6.480222,29:15.132455):4.473491):10.394055):16.811821,((2:21.321301,((1:19.487521,(4:15.712251,34:15.712253):3.775269):0.605006,(5:18.569905,35:18.569905):1.522623):1.228773):1.411478,3:22.732778):24.079043):22.028211,(38:16.314276,39:16.314276):52.525757):4.162986,((((21:30.945904,31:30.945905):2.318811,(((8:4.153703,9:4.153705):10.865892,15:15.019596):5.523206,42:20.542802):12.721914):17.859349,7:51.124065):11.612487,((27:34.635256,(16:24.057527,23:24.057528):10.577729):3.364744,(10:13.364418,24:13.364418):24.635583):24.736553):10.266465);","-0.042762","0.829","-0.144581","0.939","0.999934","0","1.021179","0.001001","-"
"3","Body mass male mean","(((((((40:5.769164,26:5.769163):7.083362,(((17:5.045978,18:5.045978):1.475126,20:6.521104):2.139695,19:8.660800):4.191726):8.557849,((6:12.537452,28:12.537452):2.897705,((((22:9.634813,32:9.634813):0.839771,33:10.474584):2.310063,(36:11.461377,41:11.461378):1.323270):0.523455,30:13.308102):2.127056):5.975217):8.589626,((((12:3.528966,13:3.528966):0.547859,14:4.076825):2.521536,37:6.598362):13.007584,((11:8.652233,25:8.652232):6.480222,29:15.132455):4.473491):10.394055):16.811821,((2:21.321301,((1:19.487521,(4:15.712251,34:15.712253):3.775269):0.605006,(5:18.569905,35:18.569905):1.522623):1.228773):1.411478,3:22.732778):24.079043):22.028211,(38:16.314276,39:16.314276):52.525757):4.162986,((((21:30.945904,31:30.945905):2.318811,(((8:4.153703,9:4.153705):10.865892,15:15.019596):5.523206,42:20.542802):12.721914):17.859349,7:51.124065):11.612487,((27:34.635256,(16:24.057527,23:24.057528):10.577729):3.364744,(10:13.364418,24:13.364418):24.635583):24.736553):10.266465);","-0.039715","0.866","-0.087667","0.928","0.752405","0.038928","0.418462","0.153153","-"
"4","Body mass female mean","(((((((40:5.769164,26:5.769163):7.083362,(((17:5.045978,18:5.045978):1.475126,20:6.521104):2.139695,19:8.660800):4.191726):8.557849,((6:12.537452,28:12.537452):2.897705,((((22:9.634813,32:9.634813):0.839771,33:10.474584):2.310063,(36:11.461377,41:11.461378):1.323270):0.523455,30:13.308102):2.127056):5.975217):8.589626,((((12:3.528966,13:3.528966):0.547859,14:4.076825):2.521536,37:6.598362):13.007584,((11:8.652233,25:8.652232):6.480222,29:15.132455):4.473491):10.394055):16.811821,((2:21.321301,((1:19.487521,(4:15.712251,34:15.712253):3.775269):0.605006,(5:18.569905,35:18.569905):1.522623):1.228773):1.411478,3:22.732778):24.079043):22.028211,(38:16.314276,39:16.314276):52.525757):4.162986,((((21:30.945904,31:30.945905):2.318811,(((8:4.153703,9:4.153705):10.865892,15:15.019596):5.523206,42:20.542802):12.721914):17.859349,7:51.124065):11.612487,((27:34.635256,(16:24.057527,23:24.057528):10.577729):3.364744,(10:13.364418,24:13.364418):24.635583):24.736553):10.266465);","-0.039464","0.826","-0.10168","0.881","0.999934","5.3e-05","0.625367","0.015015","-"
"5","Mass dimorphism","(((((((40:5.769164,26:5.769163):7.083362,(((17:5.045978,18:5.045978):1.475126,20:6.521104):2.139695,19:8.660800):4.191726):8.557849,((6:12.537452,28:12.537452):2.897705,((((22:9.634813,32:9.634813):0.839771,33:10.474584):2.310063,(36:11.461377,41:11.461378):1.323270):0.523455,30:13.308102):2.127056):5.975217):8.589626,((((12:3.528966,13:3.528966):0.547859,14:4.076825):2.521536,37:6.598362):13.007584,((11:8.652233,25:8.652232):6.480222,29:15.132455):4.473491):10.394055):16.811821,((2:21.321301,((1:19.487521,(4:15.712251,34:15.712253):3.775269):0.605006,(5:18.569905,35:18.569905):1.522623):1.228773):1.411478,3:22.732778):24.079043):22.028211,(38:16.314276,39:16.314276):52.525757):4.162986,((((21:30.945904,31:30.945905):2.318811,(((8:4.153703,9:4.153705):10.865892,15:15.019596):5.523206,42:20.542802):12.721914):17.859349,7:51.124065):11.612487,((27:34.635256,(16:24.057527,23:24.057528):10.577729):3.364744,(10:13.364418,24:13.364418):24.635583):24.736553):10.266465);","-0.054187","0.915","-0.17816","0.962","0.536407","0.003799","0.487995","0.005005","-"
"6","GR_MidRangeLat_dd","(((((((40:5.769164,26:5.769163):7.083362,(((17:5.045978,18:5.045978):1.475126,20:6.521104):2.139695,19:8.660800):4.191726):8.557849,((6:12.537452,28:12.537452):2.897705,((((22:9.634813,32:9.634813):0.839771,33:10.474584):2.310063,(36:11.461377,41:11.461378):1.323270):0.523455,30:13.308102):2.127056):5.975217):8.589626,((((12:3.528966,13:3.528966):0.547859,14:4.076825):2.521536,37:6.598362):13.007584,((11:8.652233,25:8.652232):6.480222,29:15.132455):4.473491):10.394055):16.811821,((2:21.321301,((1:19.487521,(4:15.712251,34:15.712253):3.775269):0.605006,(5:18.569905,35:18.569905):1.522623):1.228773):1.411478,3:22.732778):24.079043):22.028211,(38:16.314276,39:16.314276):52.525757):4.162986,((((21:30.945904,31:30.945905):2.318811,(((8:4.153703,9:4.153705):10.865892,15:15.019596):5.523206,42:20.542802):12.721914):17.859349,7:51.124065):11.612487,((27:34.635256,(16:24.057527,23:24.057528):10.577729):3.364744,(10:13.364418,24:13.364418):24.635583):24.736553):10.266465);","-0.008997","0.227","0.051258","0.237","0.623533","2e-06","0.583941","0.001001","-"
"7","Precip_Mean_mm","(((((((40:5.769164,26:5.769163):7.083362,(((17:5.045978,18:5.045978):1.475126,20:6.521104):2.139695,19:8.660800):4.191726):8.557849,((6:12.537452,28:12.537452):2.897705,((((22:9.634813,32:9.634813):0.839771,33:10.474584):2.310063,(36:11.461377,41:11.461378):1.323270):0.523455,30:13.308102):2.127056):5.975217):8.589626,((((12:3.528966,13:3.528966):0.547859,14:4.076825):2.521536,37:6.598362):13.007584,((11:8.652233,25:8.652232):6.480222,29:15.132455):4.473491):10.394055):16.811821,((2:21.321301,((1:19.487521,(4:15.712251,34:15.712253):3.775269):0.605006,(5:18.569905,35:18.569905):1.522623):1.228773):1.411478,3:22.732778):24.079043):22.028211,(38:16.314276,39:16.314276):52.525757):4.162986,((((21:30.945904,31:30.945905):2.318811,(((8:4.153703,9:4.153705):10.865892,15:15.019596):5.523206,42:20.542802):12.721914):17.859349,7:51.124065):11.612487,((27:34.635256,(16:24.057527,23:24.057528):10.577729):3.364744,(10:13.364418,24:13.364418):24.635583):24.736553):10.266465);","-0.001649","0.176","0.147892","0.063","6.6e-05","1","0.272863","0.19019","-"
"8","Temp_Mean_degC","(((((((40:5.769164,26:5.769163):7.083362,(((17:5.045978,18:5.045978):1.475126,20:6.521104):2.139695,19:8.660800):4.191726):8.557849,((6:12.537452,28:12.537452):2.897705,((((22:9.634813,32:9.634813):0.839771,33:10.474584):2.310063,(36:11.461377,41:11.461378):1.323270):0.523455,30:13.308102):2.127056):5.975217):8.589626,((((12:3.528966,13:3.528966):0.547859,14:4.076825):2.521536,37:6.598362):13.007584,((11:8.652233,25:8.652232):6.480222,29:15.132455):4.473491):10.394055):16.811821,((2:21.321301,((1:19.487521,(4:15.712251,34:15.712253):3.775269):0.605006,(5:18.569905,35:18.569905):1.522623):1.228773):1.411478,3:22.732778):24.079043):22.028211,(38:16.314276,39:16.314276):52.525757):4.162986,((((21:30.945904,31:30.945905):2.318811,(((8:4.153703,9:4.153705):10.865892,15:15.019596):5.523206,42:20.542802):12.721914):17.859349,7:51.124065):11.612487,((27:34.635256,(16:24.057527,23:24.057528):10.577729):3.364744,(10:13.364418,24:13.364418):24.635583):24.736553):10.266465);","-0.042584","0.792","0.039337","0.218","0.150322","0.51303","0.237425","0.525526","-"
"9","AET_Mean_mm","(((((((40:5.769164,26:5.769163):7.083362,(((17:5.045978,18:5.045978):1.475126,20:6.521104):2.139695,19:8.660800):4.191726):8.557849,((6:12.537452,28:12.537452):2.897705,((((22:9.634813,32:9.634813):0.839771,33:10.474584):2.310063,(36:11.461377,41:11.461378):1.323270):0.523455,30:13.308102):2.127056):5.975217):8.589626,((((12:3.528966,13:3.528966):0.547859,14:4.076825):2.521536,37:6.598362):13.007584,((11:8.652233,25:8.652232):6.480222,29:15.132455):4.473491):10.394055):16.811821,((2:21.321301,((1:19.487521,(4:15.712251,34:15.712253):3.775269):0.605006,(5:18.569905,35:18.569905):1.522623):1.228773):1.411478,3:22.732778):24.079043):22.028211,(38:16.314276,39:16.314276):52.525757):4.162986,((((21:30.945904,31:30.945905):2.318811,(((8:4.153703,9:4.153705):10.865892,15:15.019596):5.523206,42:20.542802):12.721914):17.859349,7:51.124065):11.612487,((27:34.635256,(16:24.057527,23:24.057528):10.577729):3.364744,(10:13.364418,24:13.364418):24.635583):24.736553):10.266465);","-0.024748","0.472","0.054463","0.213","0.248515","0.677562","0.270323","0.177177","-"
"10","PET_Mean_mm","(((((((40:5.769164,26:5.769163):7.083362,(((17:5.045978,18:5.045978):1.475126,20:6.521104):2.139695,19:8.660800):4.191726):8.557849,((6:12.537452,28:12.537452):2.897705,((((22:9.634813,32:9.634813):0.839771,33:10.474584):2.310063,(36:11.461377,41:11.461378):1.323270):0.523455,30:13.308102):2.127056):5.975217):8.589626,((((12:3.528966,13:3.528966):0.547859,14:4.076825):2.521536,37:6.598362):13.007584,((11:8.652233,25:8.652232):6.480222,29:15.132455):4.473491):10.394055):16.811821,((2:21.321301,((1:19.487521,(4:15.712251,34:15.712253):3.775269):0.605006,(5:18.569905,35:18.569905):1.522623):1.228773):1.411478,3:22.732778):24.079043):22.028211,(38:16.314276,39:16.314276):52.525757):4.162986,((((21:30.945904,31:30.945905):2.318811,(((8:4.153703,9:4.153705):10.865892,15:15.019596):5.523206,42:20.542802):12.721914):17.859349,7:51.124065):11.612487,((27:34.635256,(16:24.057527,23:24.057528):10.577729):3.364744,(10:13.364418,24:13.364418):24.635583):24.736553):10.266465);","-0.003938","0.171","0.140214","0.065","6.6e-05","1","0.226032","0.568569","-"
"11","Sociality","(((((((40:5.769164,26:5.769163):7.083362,(((17:5.045978,18:5.045978):1.475126,20:6.521104):2.139695,19:8.660800):4.191726):8.557849,((6:12.537452,28:12.537452):2.897705,((((22:9.634813,32:9.634813):0.839771,33:10.474584):2.310063,(36:11.461377,41:11.461378):1.323270):0.523455,30:13.308102):2.127056):5.975217):8.589626,((((12:3.528966,13:3.528966):0.547859,14:4.076825):2.521536,37:6.598362):13.007584,((11:8.652233,25:8.652232):6.480222,29:15.132455):4.473491):10.394055):16.811821,((2:21.321301,((1:19.487521,(4:15.712251,34:15.712253):3.775269):0.605006,(5:18.569905,35:18.569905):1.522623):1.228773):1.411478,3:22.732778):24.079043):22.028211,(38:16.314276,39:16.314276):52.525757):4.162986,((((21:30.945904,31:30.945905):2.318811,(((8:4.153703,9:4.153705):10.865892,15:15.019596):5.523206,42:20.542802):12.721914):17.859349,7:51.124065):11.612487,((27:34.635256,(16:24.057527,23:24.057528):10.577729):3.364744,(10:13.364418,24:13.364418):24.635583):24.736553):10.266465);","-","-","-","-","-","-","-","-","33"
